Squad;SCAT;SCA90;PassLiveSCA;PassDeadSCA;DribSCA;ShSCA;FldSCA;DefSCA;GCAT;GCA90;PassLiveGCA;PassDeadGCA;DribGCA;ShGCA;FldGCA;DefGCA
Atalanta;958;25.21;704;88;57;66;30;13;103;2.71;81;2;8;8;3;1
Bologna;713;18.76;552;60;29;33;28;11;74;1.95;57;5;4;4;3;1
Cagliari;635;16.71;444;75;19;48;29;20;56;1.47;38;4;3;5;4;2
Empoli;735;19.34;559;60;26;33;34;23;72;1.89;52;4;4;6;6;0
Fiorentina;832;21.89;594;80;30;51;58;19;92;2.42;59;4;4;12;11;2
Genoa;593;15.61;410;67;31;31;36;18;48;1.26;34;4;2;1;5;2
Hellas Verona;712;18.74;540;57;34;32;30;19;100;2.63;83;3;5;3;5;1
Inter;1057;27.82;779;100;45;73;36;24;132;3.47;98;12;2;13;6;1
Juventus;834;21.95;629;54;36;45;48;22;91;2.39;67;4;8;7;5;0
Lazio;734;19.32;556;54;33;36;39;16;117;3.08;73;10;12;12;8;2
Milan;924;24.32;645;68;66;62;47;36;102;2.68;70;2;9;12;5;4
Napoli;952;25.05;732;55;45;41;47;32;118;3.11;80;9;3;10;10;6
Roma;899;23.66;605;99;44;78;49;24;87;2.29;47;9;7;14;9;1
Salernitana;646;17.00;448;75;23;45;43;12;47;1.24;27;4;3;7;6;0
Sampdoria;622;16.37;465;55;25;31;35;11;67;1.76;46;6;3;6;5;1
Sassuolo;904;23.79;714;50;55;25;38;22;100;2.63;75;4;8;2;9;2
Spezia;601;15.82;419;52;39;34;35;22;57;1.50;38;3;2;7;3;4
Torino;758;19.95;538;79;31;49;40;21;70;1.84;46;2;5;9;5;3
Udinese;786;20.68;530;78;55;59;43;21;87;2.29;52;8;7;11;8;1
Venezia;547;14.39;395;47;26;24;42;13;55;1.45;41;3;1;5;5;0
