Squad;CmpTot;AttTot;TotCmpRt;TotDist;PrgDist;CmpSh;AttSh;CmpShRt;CmpMed;AttMed;CmpMedRt;CmpLng;AttLng;CmpLngRt;Ast;xA;AmxA;KP;1/3Pass;PPA;CrsPA;ProgPs
Atalanta;17273;21214;81.4;322984;105330;7417;8404;88.3;7337;8457;86.8;2171;3504;62.0;48;49.2;-1.2;465;1242;448;87;1601
Bologna;14594;18234;80.0;276343;97373;6285;7145;88.0;5878;6873;85.5;2090;3435;60.8;34;31.4;+2.6;341;958;312;100;1120
Cagliari;11661;15791;73.8;244944;89434;4249;5067;83.9;4975;6114;81.4;2205;3950;55.8;26;27.9;-1.9;304;798;238;85;915
Empoli;12942;16638;77.8;253642;94709;5096;5820;87.6;5769;6798;84.9;1876;3329;56.4;27;29.0;-2.0;342;931;360;80;1271
Fiorentina;17554;20926;83.9;376823;112138;5713;6439;88.7;8322;9286;89.6;3318;4589;72.3;33;37.1;-4.1;378;1129;358;105;1267
Genoa;11422;15650;73.0;224357;84958;4693;5579;84.1;4724;5915;79.9;1764;3413;51.7;19;25.2;-6.2;276;773;209;65;1022
Hellas Verona;13280;17377;76.4;255869;93544;5540;6568;84.3;5398;6499;83.1;2010;3497;57.5;44;34.7;+9.3;333;988;367;78;1351
Inter;18505;21830;84.8;358787;113476;7684;8513;90.3;7744;8661;89.4;2714;3853;70.4;57;56.9;+0.1;502;1248;478;131;1515
Juventus;16521;19737;83.7;340375;107199;5820;6607;88.1;7657;8540;89.7;2800;4001;70.0;37;34.9;+2.1;381;1190;317;93;1276
Lazio;19694;22970;85.7;352487;110813;9060;9930;91.2;7890;8842;89.2;2288;3343;68.4;48;38.2;+9.8;343;1251;332;60;1235
Milan;15788;19272;81.9;311394;102656;6129;6989;87.7;6882;7819;88.0;2440;3734;65.3;39;43.0;-4.0;423;1110;386;106;1350
Napoli;19698;22988;85.7;356037;110529;8979;9821;91.4;7955;8849;89.9;2336;3466;67.4;46;37.4;+8.6;447;1312;379;78;1342
Roma;15337;18778;81.7;314755;101225;5514;6325;87.2;7069;7999;88.4;2567;3882;66.1;31;39.7;-8.7;411;1109;351;74;1296
Salernitana;10842;14449;75.0;219042;89527;4405;5240;84.1;4336;5314;81.6;1852;3209;57.7;19;23.3;-4.3;305;796;238;87;943
Sampdoria;12996;17008;76.4;261351;92970;5028;5917;85.0;5482;6557;83.6;2185;3781;57.8;29;24.7;+4.3;289;893;278;77;1133
Sassuolo;17195;20359;84.5;326512;107034;7372;8123;90.8;7031;7897;89.0;2452;3583;68.4;39;38.8;+0.2;418;1121;317;62;1373
Spezia;11759;15429;76.2;234649;84769;4725;5542;85.3;4861;5765;84.3;1907;3457;55.2;25;26.4;-1.4;277;732;218;67;885
Torino;14152;18064;78.3;278761;90864;5746;6598;87.1;6047;7048;85.8;2100;3707;56.6;27;33.6;-6.6;352;1065;272;85;1082
Udinese;11792;15279;77.2;224107;81271;4943;5718;86.4;5004;5936;84.3;1574;2936;53.6;36;36.2;-0.2;362;804;282;53;966
Venezia;11667;15259;76.5;238785;86956;4331;5116;84.7;5156;6086;84.7;1987;3443;57.7;23;25.3;-2.3;253;741;222;71;884
