Squad;Gls;Sh;SoT;SoTRt;Shd90;SoTd90;GdSh;GdSoT;Dist;FK;PK;PKatt;xG;npxG;npxGdSh;GmxG;npGmxG
Atalanta;62;597;168;28.1;15.71;4.42;0.10;0.34;15.8;15;5;6;66.2;61.8;0.10;-4.2;-4.8
Bologna;43;442;142;32.1;11.63;3.74;0.09;0.27;17.3;14;4;5;44.1;40.4;0.09;-1.1;-1.4
Cagliari;34;419;112;26.7;11.03;2.95;0.07;0.28;16.3;17;3;4;39.5;36.8;0.09;-5.5;-5.8
Empoli;47;495;153;30.9;13.03;4.03;0.08;0.26;17.7;16;7;7;46.6;41.3;0.08;+0.4;-1.3
Fiorentina;59;502;175;34.9;13.21;4.61;0.10;0.29;16.5;25;9;12;58.8;49.8;0.10;+0.2;+0.2
Genoa;26;402;107;26.6;10.58;2.82;0.05;0.19;18.0;12;6;7;37.8;32.5;0.08;-11.8;-12.5
Hellas Verona;63;456;153;33.6;12.00;4.03;0.12;0.37;16.2;15;7;8;51.8;45.9;0.10;+11.2;+10.1
Inter;83;670;238;35.5;17.63;6.26;0.11;0.32;15.1;13;7;11;81.4;73.5;0.11;+1.6;+2.5
Juventus;56;522;168;32.2;13.74;4.42;0.10;0.30;16.8;19;5;6;51.5;46.9;0.09;+4.5;+4.1
Lazio;74;448;185;41.3;11.79;4.87;0.15;0.36;16.5;13;7;9;55.8;49.1;0.11;+18.2;+17.9
Milan;66;593;186;31.4;15.61;4.89;0.10;0.33;17.7;20;5;8;63.1;57.6;0.10;+2.9;+3.4
Napoli;74;567;187;33.0;14.92;4.92;0.11;0.34;17.5;25;10;14;59.4;48.7;0.09;+14.6;+15.3
Roma;58;596;179;30.0;15.68;4.71;0.09;0.28;16.3;20;7;9;63.7;57.0;0.10;-5.7;-6.0
Salernitana;32;431;134;31.1;11.34;3.53;0.06;0.21;17.2;18;4;5;37.7;34.0;0.08;-5.7;-6.0
Sampdoria;42;388;121;31.2;10.21;3.18;0.10;0.33;17.5;11;2;4;37.0;33.8;0.09;+5.0;+6.2
Sassuolo;60;568;203;35.7;14.95;5.34;0.09;0.26;18.0;14;7;7;56.0;50.8;0.09;+4.0;+2.2
Spezia;38;388;131;33.8;10.21;3.45;0.09;0.27;18.2;17;3;5;39.3;35.6;0.09;-1.3;-0.6
Torino;43;473;139;29.4;12.45;3.66;0.08;0.27;16.3;14;6;6;48.8;44.2;0.10;-5.8;-7.2
Udinese;58;507;184;36.3;13.34;4.84;0.11;0.30;16.9;19;3;4;53.1;50.1;0.10;+4.9;+4.9
Venezia;34;354;112;31.6;9.32;2.95;0.09;0.28;17.5;22;3;5;36.1;32.2;0.09;-2.1;-1.2
